files;actions_name;number_actions
chi-vs-phi-0022300459_378;[{'player': 4, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 25, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
chi-vs-phi-0022300459_393;[{'player': 11, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 21, 'jersey_color': 'red', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 11}];2
chi-vs-phi-0022300459_426;[{'player': 5, 'jersey_color': 'red', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 7, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
cle-vs-tor-0022300452_364;[{'player': 3, 'jersey_color': 'white', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 20, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
cle-vs-tor-0022300452_395;[{'player': 45, 'jersey_color': 'white', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 43, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
dal-vs-uta-0022300457_323;[{'player': 2, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 41, 'jersey_color': 'black', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 2}];2
den-vs-gsw-0022300478_331;[{'player': 2, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 50, 'jersey_color': 'white', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 2}, {'player': 2, 'jersey_color': 'blue', 'action': 'Violation', 'result': None, 'assisted': None, 'other_player': None}];3
den-vs-gsw-0022300478_360;[{'player': 11, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 20, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
det-vs-gsw-0022300490_360;[{'player': 11, 'jersey_color': 'black', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 23}, {'player': 14, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
det-vs-gsw-0022300490_400;[{'player': 44, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 32, 'jersey_color': 'black', 'action': 'Violation', 'result': None, 'assisted': None, 'other_player': 44}];2
det-vs-hou-0022300453_341;[{'player': 28, 'jersey_color': 'dark', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 10}, {'player': 28, 'jersey_color': 'dark', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None}];2
det-vs-hou-0022300453_351;[{'player': 8, 'jersey_color': 'black', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 17, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
det-vs-hou-0022300453_354;[{'player': 2, 'jersey_color': 'black', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 9}, {'player': 9, 'jersey_color': 'red', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 2}, {'player': 1, 'jersey_color': 'red', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 9}, {'player': 0, 'jersey_color': 'black', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 1}];4
det-vs-uta-0022300474_398;[{'player': 23, 'jersey_color': 'red', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 23, 'jersey_color': 'purple', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
det-vs-uta-0022300474_466;[{'player': 2, 'jersey_color': 'white', 'action': '3PT Shot', 'result': True, 'assisted': False, 'other_player': None}];1
ind-vs-mil-0022300454_376;[{'player': 1, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 34, 'jersey_color': 'green', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 1}, {'player': 34, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
ind-vs-mil-0022300454_443;[{'player': 5, 'jersey_color': 'green', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 34}, {'player': 33, 'jersey_color': 'white', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 5}];2
lac-vs-nop-0022300486_316;[{'player': 17, 'jersey_color': 'green', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 8}, {'player': 17, 'jersey_color': 'green', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 7, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 17}, {'player': 2, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 7}];4
lac-vs-nop-0022300486_351;[{'player': 14, 'jersey_color': 'black', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 7, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
lac-vs-nop-0022300486_367;[{'player': 8, 'jersey_color': 'black', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': None}, {'player': 10, 'jersey_color': 'black', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 8}];2
mem-vs-lal-0022300491_336;[{'player': 12, 'jersey_color': 'purple', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 6}, {'player': 13, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mem-vs-lal-0022300491_349;[{'player': 23, 'jersey_color': 'purple', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 23, 'jersey_color': 'purple', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 13, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
mem-vs-lal-0022300491_362;[{'player': 23, 'jersey_color': 'purple', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 18, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mem-vs-lal-0022300491_379;[{'player': 12, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 36, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mem-vs-lal-0022300491_385;[{'player': 23, 'jersey_color': 'purple', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 12}, {'player': 12, 'jersey_color': 'white', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 23}];2
mem-vs-lal-0022300491_387;[{'player': 15, 'jersey_color': 'purple', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 18, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mia-vs-lac-0022300458_294;[{'player': 2, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}];1
mia-vs-lac-0022300458_309;[{'player': 0, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 14, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mia-vs-lac-0022300458_338;[{'player': 13, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 40, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 13}, {'player': 2, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
mia-vs-lac-0022300458_355;[{'player': 14, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 44, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 11, 'jersey_color': 'white', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 44}];3
mia-vs-phx-0022300489_305;[{'player': 13, 'jersey_color': 'white', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 11}];1
mia-vs-phx-0022300489_324;[{'player': 8, 'jersey_color': 'purple', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 13, 'jersey_color': 'white', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 8}];2
mia-vs-phx-0022300489_344;[{'player': 55, 'jersey_color': 'white', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': 22}];1
mia-vs-phx-0022300489_363;[{'player': 8, 'jersey_color': 'purple', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 1}, {'player': 0, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
mil-vs-hou-0022300496_388;[{'player': 11, 'jersey_color': 'green', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 28}, {'player': 28, 'jersey_color': 'white', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 11}];2
mil-vs-sas-0022300477_89;[{'player': 34, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 3}, {'player': 26, 'jersey_color': 'black', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
min-vs-hou-0022300485_312;[{'player': 4, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 5}, {'player': 6, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
min-vs-nyk-0022300451_374;[{'player': 3, 'jersey_color': 'white', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 5}];1
min-vs-nyk-0022300451_388;[{'player': 3, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 1}, {'player': 10, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 32, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': 10}];3
min-vs-orl-0022300513_369;[{'player': 10, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': 5}, {'player': 5, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
min-vs-orl-0022300513_413;[{'player': 3, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 9}, {'player': 23, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 23, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];4
nop-vs-min-0022300471_308;[{'player': 10, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 27, 'jersey_color': 'light blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 10}, {'player': 10, 'jersey_color': 'light blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
nop-vs-min-0022300471_322;[{'player': 3, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 40, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 3, 'jersey_color': 'red', 'action': '2PT Shot', 'result': True, 'assisted': True, 'other_player': 40}];3
nop-vs-min-0022300471_334;[{'player': 9, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 5, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
nop-vs-min-0022300471_350;[{'player': 3, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 5, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
nop-vs-min-0022300471_358;[{'player': 7, 'jersey_color': 'white', 'action': '3PT Shot', 'result': True, 'assisted': True, 'other_player': 23}];1
nop-vs-min-0022300471_360;[{'player': 22, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 0, 'jersey_color': 'light blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
nyk-vs-phi-0022300483_332;[{'player': 0, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 22, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 3, 'jersey_color': 'blue', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 22}];3
nyk-vs-phi-0022300483_348;[{'player': 25, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 21, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
nyk-vs-phi-0022300483_381;[{'player': 7, 'jersey_color': 'red', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 25}, {'player': 25, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}];2
okc-vs-atl-0022300467_350;[{'player': 11, 'jersey_color': 'red', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 5}, {'player': 21, 'jersey_color': 'blue', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 25}, {'player': 21, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}];3
okc-vs-atl-0022300467_398;[{'player': 15, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 11}, {'player': 15, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 15, 'jersey_color': 'red', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}];3
okc-vs-bkn-0022300481_356;[{'player': 3, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': True, 'assisted': False, 'other_player': None}];1
orl-vs-den-0022300488_333;[{'player': 21, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': True, 'other_player': None}, {'player': 15, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 15, 'jersey_color': 'blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 12}, {'player': 12, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 15}];4
orl-vs-den-0022300488_346;[{'player': 27, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 27, 'jersey_color': 'blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': None}];2
orl-vs-den-0022300488_357;[{'player': 27, 'jersey_color': 'blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 1}, {'player': 1, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 27}];2
orl-vs-gsw-0022300463_353;[{'player': 22, 'jersey_color': 'blue', 'action': 'Turnover', 'result': None, 'assisted': None, 'other_player': 11}, {'player': 11, 'jersey_color': 'white', 'action': 'Steal', 'result': None, 'assisted': None, 'other_player': 22}];2
orl-vs-sac-0022300476_384;[{'player': 5, 'jersey_color': 'black', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 22, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
orl-vs-sac-0022300476_417;[{'player': 3, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 4}, {'player': 10, 'jersey_color': 'black', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': 3}];2
orl-vs-sac-0022300476_466;[{'player': 35, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 10, 'jersey_color': 'black', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
orl-vs-sac-0022300476_477;[{'player': 5, 'jersey_color': 'white', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}];1
por-vs-dal-0022300472_361;[{'player': 1, 'jersey_color': 'dark blue', 'action': '2PT Shot', 'result': True, 'assisted': False, 'other_player': None}, {'player': 23, 'jersey_color': 'red', 'action': 'Foul', 'result': None, 'assisted': None, 'other_player': 1}];2
por-vs-dal-0022300472_383;[{'player': 5, 'jersey_color': 'red', 'action': 'Free Throw', 'result': False, 'assisted': None, 'other_player': None}, {'player': 30, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
por-vs-dal-0022300472_394;[{'player': 9, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 1}, {'player': 8, 'jersey_color': 'red', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 9}, {'player': 23, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
por-vs-dal-0022300472_419;[{'player': 33, 'jersey_color': 'red', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 18, 'jersey_color': 'blue', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 33}, {'player': 18, 'jersey_color': 'blue', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
por-vs-dal-0022300472_427;[{'player': 10, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 23, 'jersey_color': 'red', 'action': 'Block', 'result': None, 'assisted': None, 'other_player': 10}, {'player': 4, 'jersey_color': 'red', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];3
sac-vs-det-0022300512_336;[{'player': 44, 'jersey_color': 'blue', 'action': '3PT Shot', 'result': False, 'assisted': False, 'other_player': None}, {'player': 13, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
sac-vs-det-0022300512_339;[{'player': 0, 'jersey_color': 'blue', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 25}, {'player': 10, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}];2
sac-vs-det-0022300512_366;[{'player': 0, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': True, 'other_player': 10}, {'player': 10, 'jersey_color': 'white', 'action': 'Rebound', 'result': None, 'assisted': None, 'other_player': None}, {'player': 10, 'jersey_color': 'white', 'action': '2PT Shot', 'result': False, 'assisted': False, 'other_player': None}];3
